time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,5,4,0,0
2026-04-14 00:00:00+00:00,14,5,0,0
2026-04-15 00:00:00+00:00,44,12,0,0
2026-04-16 00:00:00+00:00,20,8,0,0
2026-04-17 00:00:00+00:00,12,6,0,0
2026-04-18 00:00:00+00:00,5,4,0,0
2026-04-19 00:00:00+00:00,21,10,0,0
2026-04-20 00:00:00+00:00,41,21,0,0
2026-04-21 00:00:00+00:00,49,17,0,0
2026-04-22 00:00:00+00:00,62,25,0,0
2026-04-23 00:00:00+00:00,77,27,0,0
2026-04-24 00:00:00+00:00,45,20,0,0
2026-04-25 00:00:00+00:00,42,18,0,0
2026-04-26 00:00:00+00:00,9,4,0,0
