time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,49,17,0,0
2026-04-22 00:00:00+00:00,62,25,0,0
2026-04-23 00:00:00+00:00,77,27,0,0
2026-04-24 00:00:00+00:00,45,20,0,0
2026-04-25 00:00:00+00:00,42,18,0,0
2026-04-26 00:00:00+00:00,9,4,0,0
2026-04-27 00:00:00+00:00,1,1,0,0
2026-04-28 00:00:00+00:00,17,6,0,0
2026-04-29 00:00:00+00:00,23,6,0,0
2026-04-30 00:00:00+00:00,33,12,2,1
2026-05-01 00:00:00+00:00,44,12,0,0
2026-05-02 00:00:00+00:00,50,14,0,0
2026-05-03 00:00:00+00:00,17,8,0,0
2026-05-04 00:00:00+00:00,21,7,1,1
